Category Name,Bottles Sold,Bottle Volume (ml),State Bottle Cost,State Bottle Retail
,"102,820",771.7347382817356708,$16.9729852045256745,$25.4832183264950889
SCHNAPPS - IMPORTED,620,465.0588235294117647,$11.84,$17.7588235294117647
MISCELLANEOUS SCHNAPPS,"179,899",802.0803088803088803,$7.4737491891891892,$11.2192228571428571
AMERICAN DRY GINS,"2,407,204","1,001.2733807618200682",$5.8720658304275584,$8.8173838665137722
AMERICAN AMARETTO,"447,099",933.3724095325458187,$4.4869006121646667,$6.7316474156167512
PEACH SCHNAPPS,"567,257",894.3986593059936909,$6.3899182965299685,$9.604043690851735
American Dry Gins,"118,372",988.9230641684629415,$6.0141475708837672,$9.0265536395290997
Gold Rum,"35,691","1,098.6600774403912778",$8.3985642959038109,$12.6041247197880579
PUERTO RICO & VIRGIN ISLANDS RUM,"3,615,422","1,085.1940304924932216",$7.5085744708834122,$11.2988940148112177
CREAM LIQUEURS,"1,862,874",827.0134725395543798,$11.9218397725515796,$17.9218375822439058
Temporary & Specialty Packages,"22,790",874.7699873096446701,$16.1605266497461929,$24.2447303299492386
PEACH BRANDIES,"118,174",629.5935633709356337,$4.9203676177836762,$7.3852674187126742
Imported Vodkas,"143,855",930.7966617346345032,$12.9673548236937042,$19.4540286944522951
WATERMELON SCHNAPPS,"156,548",893.5104236718224613,$6.9855917955615333,$10.5032341403272809
DISTILLED SPIRITS SPECIALTY,"828,898",774.9340007969715083,$9.7448133758384804,$14.6544437803015209
Imported Vodka,"102,390",921.6023217840606616,$13.0286679938264701,$19.5714838839555327
Whiskey Liqueur,"320,009","1,147.6550335682834134",$12.4433621858728591,$18.6672763649148655
Iowa Distilleries,"1,272",750,$22.7782021151586369,$34.1721151586368978
American Distilled Spirits Specialty,"2,828",735.2719033232628399,$9.9485649546827795,$14.9229078549848943
100 PROOF VODKA,"889,511","1,109.8225454985674509",$5.8790167870545983,$8.8226942012025342
BLENDED WHISKIES,"4,073,313","1,049.4182695138244152",$6.7529330857543987,$10.137149702225946
CREME DE ALMOND,"6,620",751.3795217657878602,$4.4709258123850399,$6.7053648068669528
GRAPE SCHNAPPS,"139,783",902.0622508432996013,$7.0302552897884085,$10.5686315547378105
CINNAMON SCHNAPPS,"179,177",810.1651526215860961,$7.5890112458010808,$11.4086560537461662
American Sloe Gins,"1,988","1,000",$5.42,$8.13
Delisted Items,"2,148",776.7232767232767233,$10.1167832167832168,$15.1777722277722278
Iowa Distillery Whiskies,"1,584",755.5066079295154185,$36.8619493392070485,$55.2975
American Flavored Vodka,"303,495",785.9290934753140765,$7.098200436003857,$10.6501433083190095
TENNESSEE WHISKIES,"2,600,078",756.5790171396872272,$13.7179967123779379,$20.5779703216648583
SPEARMINT SCHNAPPS,"18,912",986.9364754098360656,$4.7980020491803279,$7.1995491803278689
ROCK & RYE,"12,167",750,$6.5466804511278195,$9.819203007518797
Blended Whiskies,"226,317","1,023.7595148955801203",$7.1276660338189109,$10.6929978353058074
Straight Bourbon Whiskies,"336,493",888.7044964514932644,$12.1442802723141041,$18.2221719124219737
Spiced Rum,"352,812",966.774019735590976,$9.5776903301238933,$14.3682454904667657
American Schnapps,"189,376",864.2281726139981712,$6.1701984157586841,$9.258967929579482
Imported Cordials & Liqueur,454,538.5245901639344262,$10.730327868852459,$16.1432377049180328
American Distilled Spirit Specialty,"4,514",723.6163227016885553,$9.6747795497185741,$14.5124108818011257
American Gins,5,"1,000",$3.92,$5.88
DARK CREME DE CACAO,"32,714",750.1896525565164618,$4.5731133363677742,$6.8600151722045213
APRICOT BRANDIES,"256,932",757.3236126619751227,$5.2946048975564154,$7.9469160455997299
BOTTLED IN BOND BOURBON,"25,189",756.8957456755493221,$19.6671482000935016,$29.5540190119993767
IMPORTED GRAPE BRANDIES,"1,576,061",522.3876213966394327,$13.9785626380967062,$20.9770390781563126
American Brandies,"223,438",703.1909279971856926,$5.6065411954598599,$8.4090565862036855
RASPBERRY SCHNAPPS,"71,526",844.7224956462482017,$5.6384818656772923,$8.4779897024305293
Neutral Grain Spirits Flavored,"6,387",750,$11.3840441717791411,$17.0760662576687117
SINGLE BARREL BOURBON WHISKIES,"36,962",748.9884548985757445,$22.7786404833836858,$34.2182434182132067
Temporary &  Specialty Packages,14,750,$5.50,$8.25
Canadian Whiskies,"686,232",947.4184262097011847,$9.8677151234749808,$14.8232141067955443
SCOTCH WHISKIES,"1,111,615","1,071.7895429744205837",$15.8768643439955949,$23.8496274715923312
WHISKEY LIQUEUR,"3,833,784","1,019.6826841457145248",$11.1866053644656457,$16.7848324725320708
GREEN CREME DE MENTHE,"45,726",750.0697466800580292,$4.5678685414574266,$6.8538901908269166
LOW PROOF VODKA,"8,608",765.3354632587859425,$11.3076996805111821,$16.9663514376996805
FLAVORED RUM,"2,093,001",845.8622286406075433,$8.3832990979534212,$12.618952462037526
COFFEE LIQUEURS,"517,472",808.1213164691080061,$10.5557323356069134,$15.8754214952652142
AMERICAN SLOE GINS,"32,610",849.5072836332476435,$4.5642316481005427,$6.8461168237646387
Imported Dry Gins,"60,556",926.5295484841234576,$15.2779310934135421,$22.9185753836688656
APPLE SCHNAPPS,"252,201",843.2527870932656576,$6.7071461373455391,$10.0871062569866159
AMERICAN GRAPE BRANDIES,"2,630,010",670.1762124502352515,$5.3186046951600698,$7.9951215740466555
BARBADOS RUM,"59,188",748.9415682712685437,$9.8813129478252094,$14.9397981632859017
Imported Brandies,"126,113",510.3071731339482254,$14.8383379723116666,$22.2601617275191472
Cocktails /RTD,"72,042","1,598.4460142515472052",$7.7296015484380008,$11.6327829967699781
VODKA FLAVORED,"3,693,136",805.2750963081702343,$7.2695881769166668,$10.9591689355684917
American Vodkas,"555,636","1,056.9349389689677642",$6.7842140672275185,$10.1800074706465845
AMERICAN COCKTAILS,"2,120,834","1,534.2707107606385781",$7.1318769209153656,$10.7660562707458859
IMPORTED SCHNAPPS,"1,365,246",860.5621798242763364,$10.9809112341426233,$16.4715681003054779
BUTTERSCOTCH SCHNAPPS,"221,868",829.3740439982282593,$6.1480735272405138,$9.2464851616713421
Triple Sec,"25,902",948.2815442561205273,$2.7364595103578154,$4.106876647834275
MISCELLANEOUS  BRANDIES,"26,781",663.3602278120550546,$12.2401684859990508,$18.3632130991931656
Holiday VAP,"13,492",753.0674121908962041,$15.6296503386360057,$23.4473775397700425
STRAIGHT RYE WHISKIES,"562,264",748.7702316724849254,$17.1899934857772804,$25.7927117539962251
Scotch Whiskies,"92,926","1,048.6525480228342848",$17.1570509187882828,$25.7466613192216342
AMERICAN ALCOHOL,"228,224",752.3243398628393084,$8.6819317481828262,$13.0253311978974169
CHERRY BRANDIES,"79,465",704.9977300242130751,$5.1121421004842615,$7.6688052360774818
Imported Cordials & Liqueurs,"138,933",748.0447984793324527,$14.5305370662714649,$21.8023789426205741
White Rum,"146,561","1,068.8904295659063897",$7.4977347331484521,$11.2471933895523233
Corn Whiskies,"3,641",750,$13.7141323606044815,$20.5713183949973945
Coffee Liqueurs,"37,120",809.5158967541818987,$10.6339819430597098,$15.9659898083527196
CORN WHISKIES,"5,138","1,727.3936170212765957",$52.4439627659574468,$78.6704654255319149
IMPORTED AMARETTO,"86,235",736.9516772226131832,$13.221285479709125,$19.9315138009226679
STRAWBERRY SCHNAPPS,"72,278",750,$5.1182063612587531,$7.7063696954357547
IMPORTED DRY GINS,"782,794",929.6091887073857369,$14.7730032741168268,$22.1959762780969527
American Vodka,"373,123","1,035.3933187341663446",$6.476856149132331,$9.7206956073682855
DECANTERS & SPECIALTY PACKAGES,"620,739",846.4188306083697073,$15.1223484007792656,$22.7106695272619664
Single Malt Scotch,"45,105",762.7732767489711934,$31.9327001886145405,$47.9008573388203018
Imported Distilled Spirit Specialty,287,531.7610062893081761,$12.4544654088050314,$18.6832075471698113
Straight Rye Whiskies,"28,757",769.6700859439977821,$18.0547837538120322,$27.0858407263654006
MISC. AMERICAN CORDIALS & LIQUEURS,"960,761",689.5063914864141557,$7.9319342117691508,$11.9158064135260225
HIGH PROOF BEER - AMERICAN,54,750,$92.82625,$122.138125
Bottled in Bond Bourbon,"2,689",754.9301561216105177,$13.0083155299917831,$19.5125308134757601
ROOT BEER SCHNAPPS,"97,720",928.7458685273595299,$6.0403856041131105,$9.0972853470437018
Aged Dark Rum,"13,474",848.1451374519657109,$11.5479559562518475,$17.3232116464676323
FLAVORED GINS,"60,479",751.2552039966694421,$6.4906261448792673,$9.7397785179017485
Cream Liqueurs,"113,440",838.6594177419921944,$12.1474183397208256,$18.2327207200871981
Flavored Rum,"144,695",852.5820238666177674,$8.4788116060597512,$12.7215066155104804
Mezcal,"1,632",749.2588369441277081,$16.5113683010262258,$24.818369441277081
Irish Whiskies,"69,321",796.6192409650682863,$16.4439367806449448,$24.6678940304016644
American Cordials & Liqueur,"78,614",647.5266852455568409,$5.8168151225155116,$8.7284916920811862
Imported Flavored Vodka,"122,629",724.692619532214474,$11.9053211437723132,$17.8620928564278803
Neutral Grain Spirits,"11,260",750,$8.9053703109971145,$13.3587063161269638
STRAIGHT BOURBON WHISKIES,"3,895,514",938.7613577004289256,$11.325183286615019,$17.0224918702775877
Imported Distilled Spirits Specialty,"17,404",943.2278248067721752,$6.4596393080603607,$9.6914464482885536
IMPORTED VODKA,"3,776,162",908.9810468063200412,$13.3866357214984358,$20.1058359897833921
TRIPLE SEC,"820,517",923.974469748400502,$2.7735495484375321,$4.1598839721039314
OTHER PROOF VODKA,"16,618",800.6180105944673337,$7.8665597410241318,$11.8007239552678046
TEQUILA,"4,079,513",767.8535417116550042,$13.3706640738069093,$20.0887336491323185
CANADIAN WHISKIES,"11,123,969",995.0442079358094107,$9.2809256877715731,$13.9648339265038261
Single Barrel Bourbon Whiskies,"5,924",754.5429815016322089,$19.7550489662676823,$29.6355304678998912
IRISH WHISKIES,"747,176",831.8836280532645465,$16.6705469006324316,$25.0258085282105239
VODKA 80 PROOF,"18,124,615","1,061.2838612799314994",$6.1508123829452111,$9.2436155681783174
Special Order Items,"16,979",766.2282,$22.833536,$34.252186
Tennessee Whiskies,"188,606",727.6779044351603353,$14.2705025869462967,$21.4083538997869574
MISC. IMPORTED CORDIALS & LIQUEURS,"1,877,575",749.6391778550762329,$14.0973964598029973,$21.1721835684795683
JAMAICA RUM,"78,680",806.9400837257980115,$10.423656462585034,$15.6459563055991627
ANISETTE,"5,430",750,$4.6249965301873699,$6.9410617626648161
WHITE CREME DE MENTHE,"10,575",750.203334688897926,$4.6529890199267995,$6.9785441236274908
TROPICAL FRUIT SCHNAPPS,"60,062",895.340097707628711,$4.8738547538519354,$7.3147190905674558
SINGLE MALT SCOTCH,"297,693",762.4960991835500454,$28.9608407620199577,$43.4820060477774418
IMPORTED VODKA - MISC,"1,772,283",749.2496321822034725,$11.3565516043678143,$17.0847428952770471
PEPPERMINT SCHNAPPS,"878,339",906.5614004514372967,$4.9622265650932749,$7.4465733917546306
SPICED RUM,"6,633,940",967.4318292814002033,$9.4888596006584666,$14.2501180601256216
BLACKBERRY BRANDIES,"425,294",899.3453796429647989,$5.9411240245168637,$8.9175962085942995
American Cordials & Liqueurs,"51,739",651.1258986994102916,$5.813240568705065,$8.7285325955246789
IMPORTED VODKA - CHERRY,222,"1,000",$7.05,$10.58
AMARETTO - IMPORTED,"1,509",750,$31.13,$46.70
Flavored Gin,"4,880",749.3515516442797591,$6.7279666512274201,$10.0968596572487263
Cocktails / RTD,"41,931","1,505.9291675899254007",$6.98848844080065,$10.5249571607947411
Mixto Tequila,"147,742",803.3029429225680604,$9.463332541769146,$14.1965139513188025
JAPANESE WHISKY,"1,736",756.8181818181818182,$37.579965034965035,$56.3737062937062937
100% Agave Tequila,"137,774",694.7083583884546001,$18.1206787615681328,$27.193331035595383
WHITE CREME DE CACAO,"35,292",750,$4.5548412588382088,$6.8322251490364619
Imported Schnapps,"86,201",834.9004945831370702,$10.7529265190767781,$16.1300902025435704
